,Chord Name,Barre,Position
83,Cdim,3,"['x', '1', '2', '3', '2', 'x']"
84,Cm,3,"['x', '1', '3', '3', '2', '1']"
85,Cm7,3,"['x', '1', '3', '1', '2', '1']"
86,Cm7b5,3,"['x', '1', '2', '1', '2', 'x']"
87,Cm9,8,"['1', '3', '1', '1', '1', '3']"
88,Cmaj,0,"['x', '3', '2', '0', '1', '0']"
89,Cmaj7,0,"['x', '3', '2', '0', '0', '0']"
90,Csus4,0,"['x', 'x', '3', '0', '1', '3']"
91,D#5,0,"['x', 'x', '1', '3', 'x', 'x']"
92,D#7#5,11,"['1', 'x', '1', '2', '2', 'x']"
93,D#7#9,5,"['x', '2', '1', '2', '3', 'x']"
94,D#7,6,"['x', '1', '3', '1', '3', '1']"
95,D#9,11,"['1', '3', '1', '2', '1', '3']"
96,D#dim,6,"['x', '1', '2', '3', '2', 'x']"
97,D#m,6,"['x', '1', '3', '3', '2', '1']"
98,D#m7,6,"['x', '1', '3', '1', '2', '1']"
99,D#m7b5,6,"['x', '1', '2', '1', '2', 'x']"
100,D#m9,11,"['1', '3', '1', '1', '1', '3']"
101,D#maj,6,"['x', '1', '3', '3', '3', '1']"
102,D#maj7,6,"['x', '1', '3', '2', '3', 'x']"
103,D#sus4,0,"['x', 'x', '1', '3', '4', '4']"
104,D5,0,"['x', 'x', '0', '2', 'x', 'x']"
105,D7#5,10,"['1', 'x', '1', '2', '2', 'x']"
106,D7#9,4,"['x', '2', '1', '2', '3', '3']"
107,D7,0,"['x', 'x', '0', '2', '1', '2']"
108,D9,10,"['1', '3', '1', '2', '1', '3']"
109,Db5,4,"['x', '1', '3', 'x', 'x', 'x']"
110,Db7#5,9,"['1', 'x', '1', '2', '2', 'x']"
111,Db7#9,3,"['x', '2', '1', '2', '3', 'x']"
112,Db7,4,"['x', '1', '3', '1', '3', '1']"
113,Db9,9,"['1', '3', '1', '2', '1', '3']"
114,Dbdim,4,"['x', '1', '2', '3', '2', 'x']"
115,Dbm,4,"['x', '1', '3', '3', '2', '1']"
116,Dbm7,4,"['x', '1', '3', '1', '2', '1']"
117,Dbm7b5,4,"['x', '1', '2', '1', '2', 'x']"
118,Dbm9,9,"['1', '3', '1', '1', '1', '3']"
119,Dbmaj,4,"['x', '1', '3', '3', '3', '1']"
120,Dbmaj7,4,"['x', '1', '3', '2', '3', 'x']"
121,Dbsus4,2,"['x', 'x', '3', '3', '4', '1']"
122,Ddim,0,"['x', 'x', '0', '1', '3', '1']"
123,Dm,0,"['x', 'x', '0', '2', '1', '3']"
124,Dm7,0,"['x', 'x', '0', '2', '1', '1']"
125,Dm7b5,0,"['x', 'x', '0', '1', '1', '1']"
126,Dm9,10,"['1', '3', '1', '1', '1', '3']"
127,Dmaj,0,"['x', 'x', '0', '2', '3', '2']"
128,Dmaj7,0,"['x', 'x', '0', '2', '2', '2']"
129,Dsus4,0,"['x', 'x', '0', '2', '3', '3']"
130,E5,0,"['0', '2', 'x', 'x', 'x', 'x']"
131,E7#5,0,"['0', 'x', '0', '1', '1', 'x']"
132,E7#9,0,"['0', '2', '2', '1', '3', '3']"
133,E7,0,"['0', '2', '0', '1', '3', '0']"
134,E9,0,"['0', '2', '0', '1', '0', '2']"
135,Eb5,0,"['x', 'x', '1', '3', 'x', 'x']"
136,Eb7#5,11,"['1', 'x', '1', '2', '2', 'x']"
137,Eb7#9,5,"['x', '2', '1', '2', '3', 'x']"
138,Eb7,6,"['x', '1', '3', '1', '3', '1']"
139,Eb9,11,"['1', '3', '1', '2', '1', '3']"
140,Ebdim,6,"['x', '1', '2', '3', '2', 'x']"
141,Ebm,6,"['x', '1', '3', '3', '2', '1']"
142,Ebm7,6,"['x', '1', '3', '1', '2', '1']"
143,Ebm7b5,6,"['x', '1', '2', '1', '2', 'x']"
144,Ebm9,11,"['1', '3', '1', '1', '1', '3']"
145,Ebmaj,6,"['x', '1', '3', '3', '3', '1']"
146,Ebmaj7,6,"['x', '1', '3', '2', '3', 'x']"
147,Ebsus4,0,"['x', 'x', '1', '3', '4', '4']"
148,Edim,0,"['0', '1', '2', '0', 'x', 'x']"
149,Em,0,"['0', '2', '2', '0', '0', '0']"
150,Em7,0,"['0', '2', '0', '0', '3', '0']"
151,Em7b5,0,"['x', 'x', '2', '3', '3', '3']"
152,Em9,0,"['0', '2', '0', '0', '0', '2']"
153,Emaj,0,"['0', '2', '2', '1', '0', '0']"
154,Emaj7,0,"['0', '2', '1', '1', '0', '0']"
155,Esus4,0,"['0', '2', '2', '2', '0', '0']"
156,F#5,2,"['1', '3', 'x', 'x', 'x', 'x']"
157,F#7#5,2,"['1', 'x', '1', '2', '2', 'x']"
158,F#7#9,8,"['x', '2', '1', '2', '3', 'x']"
159,F#7,2,"['1', '3', '2', '1', '1', '1']"
160,F#9,2,"['1', '3', '1', '2', '1', '3']"
161,F#dim,2,"['1', '2', '3', '1', 'x', 'x']"
162,F#m,2,"['1', '3', '3', '1', '1', '1']"
163,F#m7,2,"['1', '3', '1', '1', '1', '1']"
164,F#m7b5,0,"['2', 'x', '2', '2', '1', 'x']"
165,F#m9,2,"['1', '3', '1', '1', '1', '3']"
166,F#maj,2,"['1', '3', '3', '2', '1', '1']"
167,F#maj7,2,"['1', 'x', '2', '2', '1', 'x']"
168,F#sus4,0,"['x', 'x', '4', '4', '2', '2']"
169,F5,0,"['1', '3', 'x', 'x', 'x', 'x']"
170,F7#5,1,"['1', 'x', '1', '2', '2', 'x']"
171,F7#9,7,"['x', '2', '1', '2', '3', 'x']"
172,F7,0,"['1', '3', '1', '2', '1', '1']"
173,F9,1,"['1', '3', '1', '2', '1', '3']"
174,Fdim,0,"['1', '2', '3', '1', 'x', 'x']"
175,Fm,0,"['1', '3', '3', '1', '1', '1']"
176,Fm7,0,"['1', '3', '1', '1', '1', '1']"
177,Fm7b5,3,"['x', 'x', '1', '2', '2', '2']"
178,Fm9,1,"['1', '3', '1', '1', '1', '3']"
179,Fmaj,0,"['x', 'x', '3', '2', '1', '1']"
180,Fmaj7,0,"['x', 'x', '3', '2', '1', '0']"
181,Fsus4,0,"['x', 'x', '3', '3', '1', '1']"
182,G#5,4,"['1', '3', 'x', 'x', 'x', 'x']"
183,G#7#5,4,"['1', 'x', '1', '2', '2', 'x']"
184,G#7#9,4,"['1', '3', '1', '2', '1', '4']"
185,G#7,4,"['1', '3', '2', '1', '1', '1']"
186,G#9,4,"['1', '3', '1', '2', '1', '3']"
187,G#dim,4,"['1', '2', '3', '1', 'x', 'x']"
188,G#m,4,"['1', '3', '3', '1', '1', '1']"
189,G#m7,4,"['1', '3', '1', '1', '1', '1']"
190,G#m7b5,4,"['2', 'x', '2', '2', '1', 'x']"
191,G#m9,4,"['1', '3', '1', '1', '1', '3']"
192,G#maj,4,"['1', '3', '3', '2', '1', '1']"
193,G#maj7,4,"['1', 'x', '2', '2', '1', 'x']"
194,G#sus4,0,"['x', 'x', '1', '1', '2', '4']"
195,G5,3,"['1', '3', 'x', 'x', 'x', 'x']"
196,G7#5,3,"['1', 'x', '1', '2', '2', 'x']"
197,G7#9,3,"['1', '3', '1', '2', '1', '4']"
198,G7,0,"['3', '2', '0', '0', '0', '1']"
199,G9,3,"['1', '3', '1', '2', '1', '3']"
200,Gb5,2,"['1', '3', 'x', 'x', 'x', 'x']"
201,Gb7#5,2,"['1', 'x', '1', '2', '2', 'x']"
202,Gb7#9,8,"['x', '2', '1', '2', '3', 'x']"
203,Gb7,2,"['1', '3', '2', '1', '1', '1']"
204,Gb9,2,"['1', '3', '1', '2', '1', '3']"
205,Gbdim,2,"['1', '2', '3', '1', 'x', 'x']"
206,Gbm,2,"['1', '3', '3', '1', '1', '1']"
207,Gbm7,2,"['1', '3', '1', '1', '1', '1']"
208,Gbm7b5,0,"['2', 'x', '2', '2', '1', 'x']"
209,Gbm9,2,"['1', '3', '1', '1', '1', '3']"
210,Gbmaj,2,"['1', '3', '3', '2', '1', '1']"
211,Gbmaj7,2,"['1', 'x', '2', '2', '1', 'x']"
212,Gbsus4,0,"['x', 'x', '4', '4', '2', '2']"
213,Gdim,3,"['1', '2', '3', '1', 'x', 'x']"
214,Gm,3,"['1', '3', '3', '1', '1', '1']"
215,Gm7,3,"['1', '3', '1', '1', '1', '1']"
216,Gm7b5,2,"['2', 'x', '2', '2', '1', 'x']"
217,Gm9,3,"['1', '3', '1', '1', '1', '3']"
218,Gmaj,0,"['3', '2', '0', '0', '0', '3']"
219,Gmaj7,2,"['2', 'x', '3', '3', '2', 'x']"
220,Gsus4,3,"['1', '3', '3', '3', '1', '1']"
